cell_type,abrv,gene
EmbryonicStemCell,ESC,POU5F1
EmbryonicStemCell,ESC,PRDM14
EmbryonicStemCell,ESC,NANOG
EmbryonicStemCell,ESC,SOX2
EmbryonicStemCell,ESC,DPPA4
EmbryonicStemCell,ESC,NR2F6
EmbryonicStemCell,ESC,OTX2
Endothelial,Endo,EOMES
Endothelial,Endo,FOXA2
Endothelial,Endo,SOX17
Endothelial,Endo,GATA4
Endothelial,Endo,GATA6
Endothelial,Endo,HHEX
Mesothelioma,Meso,MIXL1
Mesothelioma,Meso,CER1
HumanEpidermalMelanocytes,Hema,NKX2_5
HumanEpidermalMelanocytes,Hema,TAL1
HumanEpidermalMelanocytes,Hema,SOX17
HumanEpidermalMelanocytes,Hema,CD34
HumanEpidermalMelanocytes,Hema,PECAM1
HumanEpidermalMelanocytes,Hema,CD69
HumanEpidermalMelanocytes,Hema,CXCR4
HumanEpidermalMelanocytes,Hema,CDH5
HumanEpidermalMelanocytes,Hema,KDR
HumanEpidermalMelanocytes,Hema,LMO2
PreGerm,PreGerm,TP53
PreGerm,PreGerm,NR6A1
PreGerm,PreGerm,GBX2
PreGerm,PreGerm,ZIC2
PreGerm,PreGerm,ZIC5
Cardiomycyte,Cardiac,NKX2_5
Cardiomycyte,Cardiac,GATA4
Cardiomycyte,Cardiac,MYBPC2
Cardiomycyte,Cardiac,TTN
Cardiomycyte,Cardiac,TNNT2
Cardiomycyte,Cardiac,MYH6
Cardiomycyte,Cardiac,TBX5
Somites,Somites,WT1
Somites,Somites,TBX18
Somites,Somites,TBX15
Somites,Somites,PDGFRA
Somites,Somites,SIX2
Somites,Somites,TBX5
NeuralProgenitor,NeuralProgenitor,NES
NeuralProgenitor,NeuralProgenitor,MAP2
NeuralProgenitor,NeuralProgenitor,PAX6
NeuralProgenitor,NeuralProgenitor,SOX1
NeuralProgenitor,NeuralProgenitor,ZBTB16
NeuralProgenitor,NeuralProgenitor,ONECUT1
NeuralProgenitor,NeuralProgenitor,ONECUT2
NeuralProgenitor,NeuralProgenitor,NR2F1
NeuralProgenitor,NeuralProgenitor,ISL1
NeuralProgenitor,NeuralProgenitor,NPAS1
NeuralProgenitor,NeuralProgenitor,EN2
NeuralProgenitor,NeuralProgenitor,SOX2
NeuralProgenitor,NeuralProgenitor,NEUROD1
NeuralProgenitor,NeuralProgenitor,ASCL1
NeuralCrest,NeuralCrest,PAX3
NeuralCrest,NeuralCrest,FOXD3
NeuralCrest,NeuralCrest,ITGA4
NeuralCrest,NeuralCrest,EDNRB
NeuralCrest,NeuralCrest,SOX9
NeuralCrest,NeuralCrest,SOX10
Trophoblast,Trophoblast,GATA3
Trophoblast,Trophoblast,TP63
Trophoblast,Trophoblast,ITGA6
Trophoblast,Trophoblast,CDH1
RadialGlia,RadialGlia,SOX2
RadialGlia,RadialGlia,PAX6
RadialGlia,RadialGlia,NR2E1
RadialGlia,RadialGlia,HES1
RadialGlia,RadialGlia,GFAP
RadialGlia,RadialGlia,GLI2
RadialGlia,RadialGlia,HOPX
RadialGlia,RadialGlia,NFATC2
RadialGlia,RadialGlia,GPX2
ExcitatoryNeuron,ExcitatoryNeuron,NRP1
ExcitatoryNeuron,ExcitatoryNeuron,SETD7
ExcitatoryNeuron,ExcitatoryNeuron,EOMES
ExcitatoryNeuron,ExcitatoryNeuron,NEUROD1
ExcitatoryNeuron,ExcitatoryNeuron,NEUROG2
ExcitatoryNeuron,ExcitatoryNeuron,NEUROD6
ExcitatoryNeuron,ExcitatoryNeuron,NR4A2
InhibitoryNeuron,InhibitoryNeuron,NKX2_1
InhibitoryNeuron,InhibitoryNeuron,DLX1
InhibitoryNeuron,InhibitoryNeuron,CITED2
InhibitoryNeuron,InhibitoryNeuron,LHX6
Retina,Retina,SIX6
Retina,Retina,RDH10
Retina,Retina,RBP3
Retina,Retina,IRX5
Retina,Retina,RP1L1
Retina,Retina,AIPL1
Retina,Retina,NYX
Retina,Retina,PDE6B
Retina,Retina,NEUROG1
Retina,Retina,NEUROD4
Retina,Retina,ONECUT1
Retina,Retina,ONECUT2
Retina,Retina,TLX2
Brain,Brain,CABP1
Brain,Brain,EYA4
Brain,Brain,WNT10B
Neurons,Neurons,TUBB3
Neurons,Neurons,MAP2
Neurons,Neurons,CHRNB2
Neurons,Neurons,RSPO2
Glia,Glia,CDH23
Glia,Glia,SOX8
Glia,Glia,LMX1B
Glia,Glia,ZIC1
Glia,Glia,ZIC2
Glia,Glia,ZIC5
NonNeural,NonNeural,OPN5
NonNeural,NonNeural,BMP2
NonNeural,NonNeural,GDF7
NonNeural,NonNeural,HOXD13
NonNeural,NonNeural,DMRTC2
NonNeural,NonNeural,NKX1_2
NonNeural,NonNeural,NKX2_4
NonNeural,NonNeural,POU5F2
NonNeural,NonNeural,HOPX
NonNeural,NonNeural,LMX1A
NonNeural,NonNeural,NANOG
NonNeural,NonNeural,SIM1
NonNeural,NonNeural,SIM2
NonNeural,NonNeural,SIX4
NonNeural,NonNeural,TBX20
NonNeural,NonNeural,WNT1
NonNeural,NonNeural,WNT3
NonNeural,NonNeural,WNT3A
NonNeural,NonNeural,WNT4
NonNeural,NonNeural,WNT9A
AlveolarType1,AT1,PDPN
AlveolarType1,AT1,SEMA3A
AlveolarType1,AT1,SEMA3E
AlveolarType1,AT1,SPOCK2
AlveolarType1,AT1,RTKN2
AlveolarType1,AT1,SCNN1G
AlveolarType1,AT1,ABCA5
AlveolarType1,AT1,CYP4B1
AlveolarType1,AT1,CAV1
AlveolarType1,AT1,CPED1
AlveolarType2,AT2,SFTPC
AlveolarType2,AT2,SLC34A2
AlveolarType2,AT2,Cbr2
AlveolarType2,AT2,Lyz2
AlveolarType2,AT2,Scd1
AlveolarType2,AT2,Chil1
AlveolarType2,AT2,SFTPA1
AlveolarType2,AT2,ANK3
AlveolarType2,AT2,PPP1R14C
AlveolarType2Proliferating,AT2Pro,PBK
AlveolarType2Proliferating,AT2Pro,CDK1
AlveolarType2Proliferating,AT2Pro,CDCA8
AlveolarType2Proliferating,AT2Pro,CDCA3
AlveolarType2Proliferating,AT2Pro,PCLAF
AlveolarType2Proliferating,AT2Pro,HMMR
AlveolarType2Proliferating,AT2Pro,CCNA2
AlveolarType2Proliferating,AT2Pro,BIRC5
AlveolarType2Proliferating,AT2Pro,MKI67
AlveolarType2Proliferating,AT2Pro,KNSTRN
AlveolarType2Migrating,AT2Mig,WNT5B
AlveolarType2Migrating,AT2Mig,SPRR1A
AlveolarType2Migrating,AT2Mig,MYO1G
AlveolarType2Migrating,AT2Mig,MYOM1
AlveolarType2Migrating,AT2Mig,MYC
AlveolarType2Migrating,AT2Mig,CACNB4
AlveolarType2Migrating,AT2Mig,EDN1
AlveolarType2Migrating,AT2Mig,PHTF2
AlveolarType2Migrating,AT2Mig,TPX2
AlveolarType2Migrating,AT2Mig,DIAPH3
