Name_of_File,School,Latitude,Longitude,Climate zone,timestamp-var,batt-bank-current-in,current-out-batt-bank,current-in-batt-bank,pv-array1-current-out,pv-array1-voltage-out,pv-array2-current-out,pv-array2-voltage-out,pv-array3-current-out,pv-array3-voltage-out,net-cum-energy-from-grid,net-avg-pow-from-grid,power-factor-grid,import-cum-energy-from-grid,export-cum-energy-to-grid,inverter1-voltage-from-utility-grid,inverter2-voltage-from-utility-grid,inverter3-voltage-from-utility-grid,inverter1-current-from-utility-grid,inverter2-current-from-utility-grid,inverter3-current-from-utility-grid,net-energy-to-crit-load,net-pow-to-crit-load,pow-factor-at-crit-load,cum-energy-to-crit-load,cum-energy-from-crit-load,inverter1-voltage-to-crit-load,inverter2-voltage-to-crit-load,inverter3-voltage-to-crit-load,inverter1-current-to-crit-load,inverter2-current-to-crit-load,inverter3-current-to-crit-load,wind-dir,plane-of-array-irradiance,ambient-temp,module-temp,wind-speed,batt-bank-temp,charge-control1-current-out,charge-control1-voltage-out,charge-control2-current-out,charge-control2-voltage-out,charge-control3-current-out,charge-control3-voltage-out,predicted-pv-pow
ss2012_data.csv,Haines City Senior,28.100314,-81.606922,4,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2013_data.csv,Hammett Bowen Jr. Elementary,29.084692,-82.194426,3,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2014_data.csv,Hialeah Gardens Senior High School,25.87994485,-80.3534686,7,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2015_data.csv,Jefferson County Middle High School,30.4910943,-83.8796136,2,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2016_data.csv,John M. Sexton Elementary School,27.82121771,-82.66029555,4,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2017_data.csv,Madison County Central School,30.469304,-83.380207,2,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2018_data.csv,Palm Beach Gardens Community High,26.82553565,-80.10277994,7,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2019_data.csv,Poinciana Elementary School,28.1661647,-81.5018323,5W,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2020_data.csv,Port Salerno Elementary,27.1457802,-80.2082358,5E,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2021_data.csv,Riversink Elementary School,30.2576572,-84.3558702,2,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2022_data.csv,Robert Morgan Education Center,25.575329,-80.388841,7,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2023_data.csv,Ronald W. Reagan-Doral Senior High,25.809742,-80.335637,7,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2024_data.csv,South Dade Senior High School,25.469786,-80.460698,7,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2025_data.csv,South Miami Senior,25.720993,-80.305474,7,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2027_data.csv,Vanguard High School,29.215388,-82.13691873,3,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2028_data.csv,Ventura Elementary School,28.334898,-81.344951,5W,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2029_data.csv,Warfield Elementary,27.02169769,-80.46179112,5E,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2030_data.csv,W.R. Tolar K-8,30.401742,-84.977061,2,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
