"Name of File [Requirements: ""name_of_location"".csv]",School,Latitude,Longitude,Climate zone ==  Region????,timestamp-var,batt-bank-current-in,current-out-batt-bank,current-in-batt-bank,pv-array1-current-out,pv-array1-voltage-out,pv-array2-current-out,pv-array2-voltage-out,pv-array3-current-out,pv-array3-voltage-out,net-cum-energy-from-grid,net-avg-pow-from-grid,power-factor-grid,import-cum-energy-from-grid,export-cum-energy-to-grid,inverter1-voltage-from-utility-grid,inverter2-voltage-from-utility-grid,inverter3-voltage-from-utility-grid,inverter1-current-from-utility-grid,inverter2-current-from-utility-grid,inverter3-current-from-utility-grid,net-energy-to-crit-load,net-pow-to-crit-load,pow-factor-at-crit-load,cum-energy-to-crit-load,cum-energy-from-crit-load,inverter1-voltage-to-crit-load,inverter2-voltage-to-crit-load,inverter3-voltage-to-crit-load,inverter1-current-to-crit-load,inverter2-current-to-crit-load,inverter3-current-to-crit-load,wind-dir,plane-of-array-irradiance,ambient-temp,module-temp,wind-speed,batt-bank-temp,charge-control1-current-out,charge-control1-voltage-out,charge-control2-current-out,charge-control2-voltage-out,charge-control3-current-out,charge-control3-voltage-out,predicted-pv-pow
ss2001.data.rda,A. Crawford Mosley High School,30.211181,-85.643709,1,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
ss2030_data.rda,W.R. Tolar K-8,,,2,TIMESTAMP,BAT2AM,BAT1AM,BATVLT,PV1AMP,PV1VLT,PV2AMP,PV2VLT,PV3AMP,PV3VLT,FMUGNT,FMUGPW,FMUGPF,IMPTOT,EXPTOT,FMUG1V,FMUG2V,FMUG3V,FMUG1A,FMUG2A,FMUG3A,TOCLNT,TOCLPW,TOCLPF,TOCTOT,FMCTOT,TOCL1V,TOCL2V,TOCL3V,TOCL1A,TOCL2A,TOCL3A,WNDDIR,POAIRR,AMBTMP,PVTMP1,WNDSPD,BATTMP,CC1AMP,CC1VLT,CC2AMP,CC2VLT,CC3AMP,CC3VLT,PVPRED
